Country,City,CameraName,CameraURL
us,"IA, Dyersville",Field of Dreams Movie Site Cam,https://www.earthcam.com/usa/iowa/dyersville/
us,"KY, Covington",Cincinnati-Covington Cam,https://www.earthcam.com/usa/kentucky/covington/
us,"KY, Hyden",Hyden Cam,https://www.earthcam.com/usa/kentucky/hyden/
us,"KY, Louisville",Ohio River Cam,https://www.earthcam.com/usa/kentucky/louisville
us,"KY, Scottsville",Scottsville Main Street Cam,https://www.earthcam.com/usa/kentucky/scottsville/
us,"LA, New Orleans",Cats Meow Karaoke,https://www.earthcam.com/usa/louisiana/neworleans/bourbonstreet/?cam=catsmeowkaraoke
us,"LA, New Orleans",Cats Meow Karaoke Stage Cam,https://www.earthcam.com/usa/louisiana/neworleans/bourbonstreet/?cam=catsmeow
us,"LA, New Orleans",New Orleans Bourbon Street,https://www.earthcam.com/usa/louisiana/neworleans/bourbonstreet/?cam=bourbonstreet
us,"LA, New Orleans",New Orleans Cats Meow Balcony,https://www.earthcam.com/usa/louisiana/neworleans/bourbonstreet/?cam=catsmeow2
us,"ME, Bar Harbor",Frenchman Bay Cam,https://www.earthcam.com/usa/maine/barharbor/
us,"ME, Bar Harbor",Osprey Cam,https://www.earthcam.com/usa/maine/barharbor/osprey/
us,"ME, Lamoine",Osprey Cam,https://www.earthcam.com/usa/maine/lamoine/
us,"ME, Peaks Island",Peaks Island Cam,https://www.earthcam.com/usa/maine/peaksisland/
us,"ME, Casco",Thompson Lake Marina,https://myearthcam.com/thompsonlake
us,"MD, Columbia",Columbia Lakefront Cam,https://www.earthcam.com/usa/maryland/columbia/
us,"MD, Baltimore",Fort McHenry Cam - Fort View,https://www.earthcam.com/usa/maryland/baltimore/fortmchenry/?cam=fortmchenry2
us,"MD, Baltimore",Inner Harbor Cam,https://www.earthcam.com/usa/maryland/baltimore/
us,"MD, Baltimore",Jellyfish Cam,https://www.earthcam.com/usa/maryland/baltimore/aquarium/?cam=jellyfish
us,"MD, North East",Sandy Cove Cam,https://www.earthcam.com/usa/maryland/northeast/sandycove/
us,"MD, Baltimore",Shark Cam,https://www.earthcam.com/usa/maryland/baltimore/aquarium/?cam=blacktipreef
us,"MD, Baltimore",Tropical Fish Cam,https://www.earthcam.com/usa/maryland/baltimore/aquarium/?cam=coralreef
us,"MA, Onset",Glen Cove Cam,https://www.earthcam.com/usa/massachusetts/onset/
us,"MA, Oxford",Osprey Cam,https://www.earthcam.com/usa/massachusetts/oxford/
us,"MA, Gloucester",Osprey Cam,https://www.earthcam.com/usa/massachusetts/essex/?cam=essex_osprey
us,"MA, Boston",Osprey Cam,https://www.earthcam.com/usa/massachusetts/boston/osprey/
us,"MI, Clinton Township",Falcon Cam,https://www.earthcam.com/usa/michigan/clinton/
us,"MI, Warren",Falcon Cam,https://www.earthcam.com/usa/michigan/warren/falcon/
us,"MI, Grand Haven",Lake Michigan Cam,https://www.earthcam.com/usa/michigan/grandhaven/lakemichigan/
us,"MI, Clinton Township",Macomb County Animal Shelter Cam,https://www.earthcam.com/usa/michigan/clinton/animalshelter/
us,"MI, Brighton",Michigan Mill Pond Cam,https://www.earthcam.com/usa/michigan/brighton/
us,"MI, Gaylord",Michigan Snowman Cam,https://www.earthcam.com/usa/michigan/gaylord/snowman/?cam=snowman
us,"MI, St Joseph",Silver Beach Cam,https://www.earthcam.com/usa/michigan/stjoseph/lakemichigan/
us,"MI, Fruitport",Village of Fruitport,https://www.earthcam.com/usa/michigan/fruitport/
us,"MN, International Falls",Rainy Lake Cam,https://www.earthcam.com/usa/minnesota/internationalfalls/
us,"MN, St. Paul",Saint Paul Cam,https://www.earthcam.com/usa/minnesota/saintpaul/?cam=stpaul
us,"MS, Vicksburg",Mississippi River Cams - Bridge View,https://www.earthcam.com/usa/mississippi/vicksburg/?cam=ms_bridge
us,"MS, Vicksburg",Mississippi River Cams - River View,https://www.earthcam.com/usa/mississippi/vicksburg/?cam=ms_river
